time_point,simulation,pair_distance_in_cell_diameter,heterogeneity_std,left_cell_fiber_density,left_cell_fiber_density_z_score,right_cell_fiber_density,right_cell_fiber_density_z_score
10,4D_9_heterogeneity,4.0,0.5,368.24578811534764,-0.6039500084976396,378.6913406845773,0.1274275006988004
11,4D_9_heterogeneity,4.0,0.5,369.8223275436626,-0.4935637486431255,378.87105383399523,0.1400106699203421
12,4D_9_heterogeneity,4.0,0.5,371.2444027822297,-0.3939927743954842,379.0297852972012,0.15112474181086907
13,4D_9_heterogeneity,4.0,0.5,371.80224645812984,-0.3549336326701641,379.4014875721861,0.17715062050319688
14,4D_9_heterogeneity,4.0,0.5,372.5345792198496,-0.3036571006131292,379.9154138415779,0.21313474985654754
15,4D_9_heterogeneity,4.0,0.5,373.9128598783679,-0.20715253866489733,380.89547750693595,0.2817569235206797
16,4D_9_heterogeneity,4.0,0.5,376.752427063351,-0.008331503474603916,382.2509411011289,0.37666387849093225
17,4D_9_heterogeneity,4.0,0.5,380.058353469943,0.22314310783150718,383.30183845463614,0.4502456908206506
18,4D_9_heterogeneity,4.0,0.5,381.83606049170066,0.34761473583175245,384.5741151606364,0.539328059807448
19,4D_9_heterogeneity,4.0,0.5,383.04102227228947,0.43198384315499844,387.05769582035924,0.7132236028874168
20,4D_9_heterogeneity,4.0,0.5,385.60795075055734,0.6117152402523004,387.66286007139604,0.7555960403094288
21,4D_9_heterogeneity,4.0,0.5,387.9080579895141,0.7727643271400937,390.3738281359978,0.9454128123239867
22,4D_9_heterogeneity,4.0,0.5,390.9793612027312,0.9878110735120192,400.35826910535894,1.6445041737902522
23,4D_9_heterogeneity,4.0,0.5,393.3457222588911,1.153499125306615,406.0160012491601,2.0406477014408053
24,4D_9_heterogeneity,4.0,0.5,396.01031567129763,1.3400688333302901,411.6597678025444,2.435813385299385
25,4D_9_heterogeneity,4.0,0.5,397.67209099919194,1.4564231470063032,413.74705963943694,2.581961546874823
26,4D_9_heterogeneity,4.0,0.5,398.9927459032511,1.5488928644135154,418.4669078578706,2.912436245164319
27,4D_9_heterogeneity,4.0,0.5,400.02920852398,1.6214639845050425,423.0959294757014,3.236551439494842
28,4D_9_heterogeneity,4.0,0.5,401.5661781887015,1.72907964558609,425.5874281954676,3.411001389916482
29,4D_9_heterogeneity,4.0,0.5,403.23092196469975,1.8456418042914646,432.61287485533484,3.902909658534296
30,4D_9_heterogeneity,4.0,0.5,404.52519817021823,1.936264535940226,437.8531326026883,4.269822431545149
31,4D_9_heterogeneity,4.0,0.5,407.25398495401754,2.127328940416291,440.6595874728384,4.466325006109663
32,4D_9_heterogeneity,4.0,0.5,410.0354153108573,2.322079346668742,444.5398934565473,4.738016571153825
33,4D_9_heterogeneity,4.0,0.5,413.7277961384176,2.5806127535677623,446.54028041196,4.87807982000373
34,4D_9_heterogeneity,4.0,0.5,416.073181722593,2.7448321431396003,449.12829110886713,5.059287353519334
35,4D_9_heterogeneity,4.0,0.5,417.45640251743754,2.841682603935924,451.7261094208725,5.241181597388857
36,4D_9_heterogeneity,4.0,0.5,420.0831439771623,3.0256019910036587,455.3920921001934,5.497866656698911
37,4D_9_heterogeneity,4.0,0.5,428.2370943866005,3.5965259226043402,458.2814901384765,5.700176752436855
38,4D_9_heterogeneity,4.0,0.5,429.37674162526156,3.6763218312698003,461.10860995086193,5.898126246528085
39,4D_9_heterogeneity,4.0,0.5,431.6140471956361,3.832973666060434,463.11707593652835,6.038755173544323
40,4D_9_heterogeneity,4.0,0.5,433.4932822473992,3.9645540915327926,465.59738028919486,6.2124213159029456
41,4D_9_heterogeneity,4.0,0.5,435.7787538123424,4.124578416663421,468.2844784749116,6.400566764888104
42,4D_9_heterogeneity,4.0,0.5,437.78181054616374,4.264828598264817,469.3167170140048,6.4728421229043445
43,4D_9_heterogeneity,4.0,0.5,440.340344389926,4.443972219192821,472.6340883316598,6.705118084880111
44,4D_9_heterogeneity,4.0,0.5,440.99518021486494,4.489822564725262,475.6106739172994,6.913532885064839
45,4D_9_heterogeneity,4.0,0.5,441.38689134116095,4.517249424719135,477.172995531629,7.022923640918019
46,4D_9_heterogeneity,4.0,0.5,443.56751601171624,4.66993257187414,481.64249746021443,7.335869573286111
47,4D_9_heterogeneity,4.0,0.5,447.7035934309967,4.959532761113346,485.0240167777314,7.572637054886903
48,4D_9_heterogeneity,4.0,0.5,448.78122737920063,5.034986618402299,486.9830723566035,7.709806360211507
49,4D_9_heterogeneity,4.0,0.5,450.7534307951295,5.17307651000074,489.77486188331153,7.905282095622508
50,4D_9_heterogeneity,4.0,0.5,453.3107780156086,5.352137045847759,492.8677783944414,8.12184216356246
0,5D_10_heterogeneity,5.0,0.5,393.5438738812013,0.9375874082087132,403.05963430629754,1.5016071446081563
1,5D_10_heterogeneity,5.0,0.5,391.95627052010315,0.8434867174355531,403.1509451966038,1.5070193389026985
2,5D_10_heterogeneity,5.0,0.5,389.9660591876409,0.7255225799448606,403.2307704846909,1.5117507566700208
3,5D_10_heterogeneity,5.0,0.5,389.1569476476367,0.6775647860193891,403.529240338298,1.5294417115316723
4,5D_10_heterogeneity,5.0,0.5,388.4382163312551,0.6349640237578201,403.9072746325077,1.5518486231651125
5,5D_10_heterogeneity,5.0,0.5,388.87542344946723,0.6608782368684849,404.32527506394104,1.576624414338889
6,5D_10_heterogeneity,5.0,0.5,389.3649928502603,0.6898960759112064,404.8316544370763,1.606638616861329
7,5D_10_heterogeneity,5.0,0.5,390.31821337188035,0.746395521390808,406.10244099993423,1.6819608896155682
8,5D_10_heterogeneity,5.0,0.5,392.2221522244053,0.859246102085301,407.7076591389156,1.7771056464364825
9,5D_10_heterogeneity,5.0,0.5,392.96408268585026,0.9032219279359888,408.0828620390069,1.7993447352062772
10,5D_10_heterogeneity,5.0,0.5,394.509325963846,0.9948118448100619,409.2474037868031,1.8683696475911973
11,5D_10_heterogeneity,5.0,0.5,395.84760474260133,1.0741345274231995,410.19060785967054,1.9242753964524815
12,5D_10_heterogeneity,5.0,0.5,397.1610793818787,1.1519870149510256,411.94771513931005,2.028422951709769
13,5D_10_heterogeneity,5.0,0.5,398.45668705373157,1.2287804886106095,413.5031862289196,2.120619093136866
14,5D_10_heterogeneity,5.0,0.5,400.109963166708,1.326773745668363,416.19197401713353,2.279989370633855
15,5D_10_heterogeneity,5.0,0.5,397.9554533362826,1.1990712802488157,417.49107758659653,2.356990053718695
16,5D_10_heterogeneity,5.0,0.5,399.4978275541445,1.2904911417129084,419.95699377360154,2.5031502485581547
17,5D_10_heterogeneity,5.0,0.5,399.63981489092697,1.298907038781196,421.68780081153295,2.605738931509628
18,5D_10_heterogeneity,5.0,0.5,401.37238649114306,1.4016003111622268,423.87054090238655,2.735114665625937
19,5D_10_heterogeneity,5.0,0.5,403.8570503819417,1.5488717230226494,426.16394980708793,2.8710499801042566
20,5D_10_heterogeneity,5.0,0.5,405.9213850959915,1.6712293139291936,432.8010052724912,3.2644426367954185
21,5D_10_heterogeneity,5.0,0.5,408.6306340153009,1.8318123669954873,437.83857567158327,3.5630303483035948
22,5D_10_heterogeneity,5.0,0.5,410.6022911030092,1.9486767542016266,440.1073350070348,3.6975046294089022
23,5D_10_heterogeneity,5.0,0.5,412.76696042061786,2.076981394437172,443.5451258856759,3.901269942799286
24,5D_10_heterogeneity,5.0,0.5,414.995156986667,2.2090514323202934,445.4620686306774,4.014891292373946
25,5D_10_heterogeneity,5.0,0.5,415.8501033573919,2.2597259559642673,445.83445136395096,4.03696322374653
26,5D_10_heterogeneity,5.0,0.5,419.37119637659384,2.468428767700736,448.39234646881425,4.188575208320829
27,5D_10_heterogeneity,5.0,0.5,422.21553089842195,2.6370186370928184,449.58656437517095,4.259359090917368
28,5D_10_heterogeneity,5.0,0.5,423.2561140060721,2.6986962523184683,452.2167147556205,4.415253802217547
29,5D_10_heterogeneity,5.0,0.5,427.67718871106865,2.9607429283926177,455.578337175297,4.614504446025262
30,5D_10_heterogeneity,5.0,0.5,431.96482227678206,3.2148802590396977,458.54706077008893,4.790467125262262
31,5D_10_heterogeneity,5.0,0.5,434.55240307537883,3.3682517789959765,459.8465722082305,4.867491983607333
32,5D_10_heterogeneity,5.0,0.5,436.1257093936827,3.4615050530680125,460.504085769785,4.906464236911332
33,5D_10_heterogeneity,5.0,0.5,441.14952662556584,3.7592775845593196,461.8151057472754,4.984171231316993
34,5D_10_heterogeneity,5.0,0.5,443.1523346126951,3.8779883530629213,462.29386382475076,5.0125482598038165
35,5D_10_heterogeneity,5.0,0.5,445.214002021889,4.000187847031907,464.29315913540916,5.131050824362737
36,5D_10_heterogeneity,5.0,0.5,449.9131656784714,4.27871745774945,467.2036328394908,5.303560906378284
37,5D_10_heterogeneity,5.0,0.5,455.76866999340433,4.625785884512714,470.84936781789276,5.519651517074769
0,5D_14_heterogeneity,5.0,0.5,363.14677230034255,-0.826107429931841,393.9324007715335,0.6468536883395336
1,5D_14_heterogeneity,5.0,0.5,361.66188747942795,-0.8971528402396187,393.32577330007996,0.6178291491925585
2,5D_14_heterogeneity,5.0,0.5,361.56124053844104,-0.9019683674225507,392.30327729427864,0.568907073051007
3,5D_14_heterogeneity,5.0,0.5,361.8797306487405,-0.8867299730053604,391.8844166257017,0.5488663751856268
4,5D_14_heterogeneity,5.0,0.5,362.3130588633516,-0.8659970647209188,391.51287034902356,0.5310894693252334
5,5D_14_heterogeneity,5.0,0.5,363.21809238744504,-0.822695067720298,390.9374359784794,0.5035573871161058
6,5D_14_heterogeneity,5.0,0.5,364.0881589822749,-0.7810660892607413,390.35616670678826,0.47574612975463243
7,5D_14_heterogeneity,5.0,0.5,364.93196548243293,-0.7406935444143511,390.128792292119,0.4648672330509007
8,5D_14_heterogeneity,5.0,0.5,365.76420418020325,-0.700874469611846,389.63360588552854,0.4411746739112745
